"No","優先度","主原因","Work名","SalesforceURL","Freee請求書ID","Freee請求書番号","取引先","解決済み取引先","請求日","請求金額","契約管理","契約期間","作成済み請求","請求明細","確認コード","個別確認対象","具体的な確認事項","確認後の対応","自動反映可否","担当","現在の検証メッセージ"
"83","高","既存請求明細との照合不一致","MFIW-000158","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000Wifcv2AB/view","60861151","INV-0000001317","TC神鋼不動産株式会社","TC神鋼不動産株式会社","2026-06-20","12100","","CP-00000294","INV-0000000133","knock knock AI_Basicプラン(月額) / 数量:1 / 単価:11,000 / 金額:11,000 / 確定:knock knock AI Basicプラン(50クレジット)","I01","明細照合: Salesforce請求「INV-0000000133」 / Freee請求書ID 60861151","作成済みSalesforce請求「INV-0000000133」とFreee請求書ID 60861151 の明細を、Freee明細ID・件名・数量・単価・金額単位で比較する。 Salesforce側の明細を残す・修正する・不足分を追加するのどれが正しいか確認する。","既存請求明細を直接削除せず、Freee原本との差分を確定してから不足明細の追加または誤明細の訂正を行う。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","不可（個別確認が必要）","経理（内容判断）／システム管理者（マスタ・ルール設定）","同じfreee請求書IDのSalesforce請求は存在しますが、すべての請求明細を照合できませんでした。既存の請求明細と移行Workの明細を確認してください。"
"84","中","契約・契約期間未確定","MFIW-000164","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WicaJ2AR/view","60792923","INV-0000001313","近鉄不動産株式会社","近鉄不動産株式会社","2026-06-20","324500","","","","[月額費用]Rendery Enterpriseプラン_13アカウント / 数量:13 / 単価:15,000 / 金額:195,000 / 確定:Rendery Enterpriseプラン || [月額費用]セキュリティオプション+_運用費用 / 数量:1 / 単価:100,000 / 金額:100,000 / 確定:Rendery セキュリティオプション(SSO)_初期費用","C01","請求区分と契約先: 近鉄不動産株式会社 / 請求日: 2026-06-20","取引先「近鉄不動産株式会社」の請求が、月契約・年契約・単発請求のどれに該当するか確認する。 既存の有効契約へ紐づけるか、新しいFreee管理契約を作成するか確認する。 請求日 2026-06-20 を含む契約期間を作成または選択してよいか確認する。","確認した商品と請求区分を基に、取引先・商品・件名キーワード・請求区分が一意になるFreee請求契約ルールを登録して有効化する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","契約管理を特定できません。取引先に有効な契約管理があるか確認してください。 / 契約期間を特定できません。請求日を含む契約期間があるか確認してください。"
"85","高","既存請求明細との照合不一致","MFIW-000166","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WicaL2AR/view","60861149","INV-0000001316","株式会社TAKUTO","株式会社TAKUTO","2026-06-20","12100","","CP-00000149","INV-0000000152","knock knock AI_Basicプラン(月額) / 数量:1 / 単価:11,000 / 金額:11,000 / 確定:knock knock AI Basicプラン(50クレジット)","I01","明細照合: Salesforce請求「INV-0000000152」 / Freee請求書ID 60861149","作成済みSalesforce請求「INV-0000000152」とFreee請求書ID 60861149 の明細を、Freee明細ID・件名・数量・単価・金額単位で比較する。 Salesforce側の明細を残す・修正する・不足分を追加するのどれが正しいか確認する。","既存請求明細を直接削除せず、Freee原本との差分を確定してから不足明細の追加または誤明細の訂正を行う。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","不可（個別確認が必要）","経理（内容判断）／システム管理者（マスタ・ルール設定）","同じfreee請求書IDのSalesforce請求は存在しますが、すべての請求明細を照合できませんでした。既存の請求明細と移行Workの明細を確認してください。"
"86","中","契約・契約期間未確定","MFIW-000168","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WicaN2AR/view","60861154","INV-0000001319","株式会社ハートランド","株式会社ハートランド","2026-06-20","12100","","","","knock knock AI_Basicプラン(月額) / 数量:1 / 単価:11,000 / 金額:11,000 / 確定:knock knock AI Basicプラン(50クレジット)","C01","請求区分と契約先: 株式会社ハートランド / 請求日: 2026-06-20","取引先「株式会社ハートランド」の請求が、月契約・年契約・単発請求のどれに該当するか確認する。 既存の有効契約へ紐づけるか、新しいFreee管理契約を作成するか確認する。 請求日 2026-06-20 を含む契約期間を作成または選択してよいか確認する。","確認した商品と請求区分を基に、取引先・商品・件名キーワード・請求区分が一意になるFreee請求契約ルールを登録して有効化する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","請求書移行Workの取込ステータスが反映可能ではありません。検証を実行し、要確認事項を解消してください。 / 契約管理を特定できません。取引先に有効な契約管理があるか確認してください。 / 契約期間を特定できません。請求日を含む契約期間があるか確認してください。"
"87","中","契約・契約期間未確定","MFIW-000169","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WicaO2AR/view","60861155","INV-0000001320","西和不動産株式会社 栗東店","西和不動産株式会社 栗東店","2026-06-20","12100","","","","knock knock AI Basicプラン / 数量:1 / 単価:11,000 / 金額:11,000 / 確定:knock knock AI Basicプラン(50クレジット)","C01","請求区分と契約先: 西和不動産株式会社 栗東店 / 請求日: 2026-06-20","取引先「西和不動産株式会社 栗東店」の請求が、月契約・年契約・単発請求のどれに該当するか確認する。 既存の有効契約へ紐づけるか、新しいFreee管理契約を作成するか確認する。 請求日 2026-06-20 を含む契約期間を作成または選択してよいか確認する。","確認した商品と請求区分を基に、取引先・商品・件名キーワード・請求区分が一意になるFreee請求契約ルールを登録して有効化する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","契約管理を特定できません。取引先に有効な契約管理があるか確認してください。 / 契約期間を特定できません。請求日を含む契約期間があるか確認してください。"
"88","高","既存請求明細との照合不一致","MFIW-000170","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WicaP2AR/view","60861156","INV-0000001321","株式会社香川不動産買取センター","株式会社香川不動産買取センター","2026-06-20","12100","","CP-00000136","INV-0000000154","knock knock AI Basicプラン / 数量:1 / 単価:11,000 / 金額:11,000 / 確定:knock knock AI Basicプラン(50クレジット)","I01","明細照合: Salesforce請求「INV-0000000154」 / Freee請求書ID 60861156","作成済みSalesforce請求「INV-0000000154」とFreee請求書ID 60861156 の明細を、Freee明細ID・件名・数量・単価・金額単位で比較する。 Salesforce側の明細を残す・修正する・不足分を追加するのどれが正しいか確認する。","既存請求明細を直接削除せず、Freee原本との差分を確定してから不足明細の追加または誤明細の訂正を行う。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","不可（個別確認が必要）","経理（内容判断）／システム管理者（マスタ・ルール設定）","同じfreee請求書IDのSalesforce請求は存在しますが、すべての請求明細を照合できませんでした。既存の請求明細と移行Workの明細を確認してください。"
"89","高","商品名の類似性不足","MFIW-000171","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WicaQ2AR/view","60861157","INV-0000001322","株式会社博進コスモプラザ","株式会社博進コスモプラザ","2026-06-20","12100","","CP-00000134","INV-0000000155","knock knock AI_Basicプラン / 数量:1 / 単価:11,000 / 金額:11,000 / 確定:[OLD] Rendery Enterpriseプラン(2025年9月まで)","P03","商品誤紐づけ確認: 「knock knock AI_Basicプラン」 -> 「[OLD] Rendery Enterpriseプラン(2025年9月まで)」","Freee明細「knock knock AI_Basicプラン」を商品「[OLD] Rendery Enterpriseプラン(2025年9月まで)」としてよいか、名称だけでなく単価・数量・契約内容も確認する。","商品対応が正しければ商品マッピングへ正式な別名として登録する。誤りなら確定商品を解除して正しい商品を選択する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","不可（個別確認が必要）","経理（内容判断）／システム管理者（マスタ・ルール設定）","請求明細の件名と商品マスタ名が類似していないため、請求作成を停止しました。金額一致だけで商品が選ばれている可能性があります。明細「knock knock AI_Basicプラン」の商品マスタを確認してください。"
"90","中","契約・契約期間未確定","MFIW-000173","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WicaS2AR/view","60861159","INV-0000001324","株式会社ヨコハマ地所","株式会社ヨコハマ地所","2026-06-20","12100","","","","knock knock AI_Basicプラン / 数量:1 / 単価:11,000 / 金額:11,000 / 確定:[OLD] Rendery Enterpriseプラン(2025年9月まで)","C01","請求区分と契約先: 株式会社ヨコハマ地所 / 請求日: 2026-06-20","取引先「株式会社ヨコハマ地所」の請求が、月契約・年契約・単発請求のどれに該当するか確認する。 既存の有効契約へ紐づけるか、新しいFreee管理契約を作成するか確認する。 請求日 2026-06-20 を含む契約期間を作成または選択してよいか確認する。","確認した商品と請求区分を基に、取引先・商品・件名キーワード・請求区分が一意になるFreee請求契約ルールを登録して有効化する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","契約管理を特定できません。取引先に有効な契約管理があるか確認してください。 / 契約期間を特定できません。請求日を含む契約期間があるか確認してください。"
"91","中","商品未確定","MFIW-000174","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WicaT2AR/view","60861161","INV-0000001325","リアルティホールディングス株式会社","リアルティホールディングス株式会社","2026-06-20","175450","","CP-00000126","","knock knock AI_Enterpriseプラン_1200クレジット / 数量:1,100 / 単価:145 / 金額:159,500 / 商品未候補","P02","商品選択: 「knock knock AI_Enterpriseプラン_1200クレジット」","明細「knock knock AI_Enterpriseプラン_1200クレジット」（数量 1,100、単価 145 円）に対応する商品マスタを選ぶ。該当商品がなければ、汎用商品への集約か商品マスタ追加かを判断する。","確定商品マスタを設定する。今後も同じ明細名が発生する場合は、Freee請求明細商品マッピングも登録する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","商品確定後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"92","高","既存請求明細との照合不一致","MFIW-000175","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WicaU2AR/view","60861162","INV-0000001326","株式会社穂積住宅","株式会社穂積住宅","2026-06-20","36300","","CP-00000124","INV-0000000156","knock knock AI_Basicプラン(月額) / 数量:3 / 単価:11,000 / 金額:33,000 / 確定:knock knock AI Basicプラン(50クレジット)","I01","明細照合: Salesforce請求「INV-0000000156」 / Freee請求書ID 60861162","作成済みSalesforce請求「INV-0000000156」とFreee請求書ID 60861162 の明細を、Freee明細ID・件名・数量・単価・金額単位で比較する。 Salesforce側の明細を残す・修正する・不足分を追加するのどれが正しいか確認する。","既存請求明細を直接削除せず、Freee原本との差分を確定してから不足明細の追加または誤明細の訂正を行う。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","不可（個別確認が必要）","経理（内容判断）／システム管理者（マスタ・ルール設定）","同じfreee請求書IDのSalesforce請求は存在しますが、すべての請求明細を照合できませんでした。既存の請求明細と移行Workの明細を確認してください。"
"93","高","商品名の類似性不足","MFIW-000176","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WicaV2AR/view","60861164","INV-0000001327","株式会社イーグランド","株式会社イーグランド","2026-06-20","12100","","CP-00000120","INV-0000000157","knock knock AI_Basicプラン / 数量:1 / 単価:11,000 / 金額:11,000 / 確定:[OLD] Rendery Enterpriseプラン(2025年9月まで)","P03","商品誤紐づけ確認: 「knock knock AI_Basicプラン」 -> 「[OLD] Rendery Enterpriseプラン(2025年9月まで)」","Freee明細「knock knock AI_Basicプラン」を商品「[OLD] Rendery Enterpriseプラン(2025年9月まで)」としてよいか、名称だけでなく単価・数量・契約内容も確認する。","商品対応が正しければ商品マッピングへ正式な別名として登録する。誤りなら確定商品を解除して正しい商品を選択する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","不可（個別確認が必要）","経理（内容判断）／システム管理者（マスタ・ルール設定）","請求明細の件名と商品マスタ名が類似していないため、請求作成を停止しました。金額一致だけで商品が選ばれている可能性があります。明細「knock knock AI_Basicプラン」の商品マスタを確認してください。"
"94","高","商品名の類似性不足","MFIW-000177","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WicaW2AR/view","60861166","INV-0000001328","株式会社ハウスプラザ","株式会社ハウスプラザ","2026-06-20","12100","","CP-00000118","INV-0000000158","knock knock AI_Basicプラン / 数量:1 / 単価:11,000 / 金額:11,000 / 確定:[OLD] Rendery Enterpriseプラン(2025年9月まで)","P03","商品誤紐づけ確認: 「knock knock AI_Basicプラン」 -> 「[OLD] Rendery Enterpriseプラン(2025年9月まで)」","Freee明細「knock knock AI_Basicプラン」を商品「[OLD] Rendery Enterpriseプラン(2025年9月まで)」としてよいか、名称だけでなく単価・数量・契約内容も確認する。","商品対応が正しければ商品マッピングへ正式な別名として登録する。誤りなら確定商品を解除して正しい商品を選択する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","不可（個別確認が必要）","経理（内容判断）／システム管理者（マスタ・ルール設定）","請求明細の件名と商品マスタ名が類似していないため、請求作成を停止しました。金額一致だけで商品が選ばれている可能性があります。明細「knock knock AI_Basicプラン」の商品マスタを確認してください。"
"95","中","契約・契約期間未確定","MFIW-000178","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WicaX2AR/view","60861167","INV-0000001329","株式会社JR東日本建築設計","株式会社JR東日本建築設計","2026-06-20","8800","","","","Rendery_Pro_月額利用料 / 数量:1 / 単価:8,000 / 金額:8,000 / 確定:Rendery Proプラン","C01","請求区分と契約先: 株式会社JR東日本建築設計 / 請求日: 2026-06-20","取引先「株式会社JR東日本建築設計」の請求が、月契約・年契約・単発請求のどれに該当するか確認する。 既存の有効契約へ紐づけるか、新しいFreee管理契約を作成するか確認する。 請求日 2026-06-20 を含む契約期間を作成または選択してよいか確認する。","確認した商品と請求区分を基に、取引先・商品・件名キーワード・請求区分が一意になるFreee請求契約ルールを登録して有効化する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","契約管理を特定できません。取引先に有効な契約管理があるか確認してください。 / 契約期間を特定できません。請求日を含む契約期間があるか確認してください。"
"96","中","契約・契約期間未確定","MFIW-000179","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WhTPL2A3/view","60861169","INV-0000001330","アイリスオーヤマ株式会社(空間デザイン部)","アイリスオーヤマ株式会社(空間デザイン部)","2026-06-20","12100","","","","RenderyEnterpriseプラン_月額 / 数量:1 / 単価:11,000 / 金額:11,000 / 確定:[OLD] Rendery Enterpriseプラン(2025年9月まで)","C01","請求区分と契約先: アイリスオーヤマ株式会社(空間デザイン部) / 請求日: 2026-06-20","取引先「アイリスオーヤマ株式会社(空間デザイン部)」の請求が、月契約・年契約・単発請求のどれに該当するか確認する。 既存の有効契約へ紐づけるか、新しいFreee管理契約を作成するか確認する。 請求日 2026-06-20 を含む契約期間を作成または選択してよいか確認する。","確認した商品と請求区分を基に、取引先・商品・件名キーワード・請求区分が一意になるFreee請求契約ルールを登録して有効化する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","契約管理を特定できません。取引先に有効な契約管理があるか確認してください。 / 契約期間を特定できません。請求日を含む契約期間があるか確認してください。"
"97","中","契約・契約期間未確定","MFIW-000180","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WhTPM2A3/view","60861170","INV-0000001331","アイリスオーヤマ株式会社(ストアソリューション営業部ストアデザインチーム)","アイリスオーヤマ株式会社(ストアソリューション営業部ストアデザインチーム)","2026-06-20","48400","","","","RenderyEnterpriseプラン_月額 / 数量:4 / 単価:11,000 / 金額:44,000 / 確定:[OLD] Rendery Enterpriseプラン(2025年9月まで)","C01","請求区分と契約先: アイリスオーヤマ株式会社(ストアソリューション営業部ストアデザインチーム) / 請求日: 2026-06-20","取引先「アイリスオーヤマ株式会社(ストアソリューション営業部ストアデザインチーム)」の請求が、月契約・年契約・単発請求のどれに該当するか確認する。 既存の有効契約へ紐づけるか、新しいFreee管理契約を作成するか確認する。 請求日 2026-06-20 を含む契約期間を作成または選択してよいか確認する。","確認した商品と請求区分を基に、取引先・商品・件名キーワード・請求区分が一意になるFreee請求契約ルールを登録して有効化する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","契約管理を特定できません。取引先に有効な契約管理があるか確認してください。 / 契約期間を特定できません。請求日を含む契約期間があるか確認してください。"
"98","中","契約・契約期間未確定","MFIW-000181","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WhTPN2A3/view","60861171","INV-0000001332","九州旅客鉄道株式会社(博多設備区)","九州旅客鉄道株式会社(博多設備区)","2026-06-20","8800","","","","Rendery_Pro_月額利用料 / 数量:1 / 単価:8,000 / 金額:8,000 / 確定:Rendery Proプラン","C01","請求区分と契約先: 九州旅客鉄道株式会社(博多設備区) / 請求日: 2026-06-20","取引先「九州旅客鉄道株式会社(博多設備区)」の請求が、月契約・年契約・単発請求のどれに該当するか確認する。 既存の有効契約へ紐づけるか、新しいFreee管理契約を作成するか確認する。 請求日 2026-06-20 を含む契約期間を作成または選択してよいか確認する。","確認した商品と請求区分を基に、取引先・商品・件名キーワード・請求区分が一意になるFreee請求契約ルールを登録して有効化する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","契約管理を特定できません。取引先に有効な契約管理があるか確認してください。 / 契約期間を特定できません。請求日を含む契約期間があるか確認してください。"
"99","中","契約・契約期間未確定","MFIW-000183","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WhTPP2A3/view","60861173","INV-0000001334","株式会社デザインアーク","株式会社デザインアーク","2026-06-20","181500","","","","Rendery_Enterpriseプラン / 数量:15 / 単価:11,000 / 金額:165,000 / 確定:Rendery_Enterpriseプラン","C01","請求区分と契約先: 株式会社デザインアーク / 請求日: 2026-06-20","取引先「株式会社デザインアーク」の請求が、月契約・年契約・単発請求のどれに該当するか確認する。 既存の有効契約へ紐づけるか、新しいFreee管理契約を作成するか確認する。 請求日 2026-06-20 を含む契約期間を作成または選択してよいか確認する。","確認した商品と請求区分を基に、取引先・商品・件名キーワード・請求区分が一意になるFreee請求契約ルールを登録して有効化する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","契約管理を特定できません。取引先に有効な契約管理があるか確認してください。 / 契約期間を特定できません。請求日を含む契約期間があるか確認してください。"
"100","中","契約・契約期間未確定","MFIW-000187","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WhTPT2A3/view","60861179","INV-0000001338","九州旅客鉄道株式会社(建設工事部施設課)","九州旅客鉄道株式会社(建設工事部施設課)","2026-06-20","8800","","","","Rendery_Pro_月額 / 数量:1 / 単価:8,000 / 金額:8,000 / 確定:Rendery Proプラン","C01","請求区分と契約先: 九州旅客鉄道株式会社(建設工事部施設課) / 請求日: 2026-06-20","取引先「九州旅客鉄道株式会社(建設工事部施設課)」の請求が、月契約・年契約・単発請求のどれに該当するか確認する。 既存の有効契約へ紐づけるか、新しいFreee管理契約を作成するか確認する。 請求日 2026-06-20 を含む契約期間を作成または選択してよいか確認する。","確認した商品と請求区分を基に、取引先・商品・件名キーワード・請求区分が一意になるFreee請求契約ルールを登録して有効化する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","契約管理を特定できません。取引先に有効な契約管理があるか確認してください。 / 契約期間を特定できません。請求日を含む契約期間があるか確認してください。"
"101","中","契約・契約期間未確定","MFIW-000189","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WhTPV2A3/view","60861181","INV-0000001340","東急リゾーツ＆ステイ株式会社","東急リゾーツ＆ステイ株式会社","2026-06-20","48400","","","","Rendery　エンタープライズプラン / 数量:4 / 単価:11,000 / 金額:44,000 / 確定:[OLD] Rendery Enterpriseプラン(2025年9月まで)","C01","請求区分と契約先: 東急リゾーツ＆ステイ株式会社 / 請求日: 2026-06-20","取引先「東急リゾーツ＆ステイ株式会社」の請求が、月契約・年契約・単発請求のどれに該当するか確認する。 既存の有効契約へ紐づけるか、新しいFreee管理契約を作成するか確認する。 請求日 2026-06-20 を含む契約期間を作成または選択してよいか確認する。","確認した商品と請求区分を基に、取引先・商品・件名キーワード・請求区分が一意になるFreee請求契約ルールを登録して有効化する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","契約管理を特定できません。取引先に有効な契約管理があるか確認してください。 / 契約期間を特定できません。請求日を含む契約期間があるか確認してください。"
"102","高","商品名の類似性不足","MFIW-000193","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WhTPZ2A3/view","60861185","INV-0000001344","株式会社エージェント","株式会社エージェント","2026-06-20","12100","","CP-00000132","INV-0000000142","knock knock AI Basicプラン(月額) / 数量:1 / 単価:11,000 / 金額:11,000 / 確定:[OLD] Rendery Enterpriseプラン(2025年9月まで)","P03","商品誤紐づけ確認: 「knock knock AI Basicプラン(月額)」 -> 「[OLD] Rendery Enterpriseプラン(2025年9月まで)」","Freee明細「knock knock AI Basicプラン(月額)」を商品「[OLD] Rendery Enterpriseプラン(2025年9月まで)」としてよいか、名称だけでなく単価・数量・契約内容も確認する。","商品対応が正しければ商品マッピングへ正式な別名として登録する。誤りなら確定商品を解除して正しい商品を選択する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","不可（個別確認が必要）","経理（内容判断）／システム管理者（マスタ・ルール設定）","請求明細の件名と商品マスタ名が類似していないため、請求作成を停止しました。金額一致だけで商品が選ばれている可能性があります。明細「knock knock AI Basicプラン(月額)」の商品マスタを確認してください。"
"103","高","既存請求明細との照合不一致","MFIW-000194","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WhTPa2AN/view","60861186","INV-0000001345","ホームトレードセンター株式会社","ホームトレードセンター株式会社","2026-06-20","12100","","CP-00000151","INV-0000000143","knock knock AI_Basicプラン(月額) / 数量:1 / 単価:11,000 / 金額:11,000 / 確定:knock knock AI Basicプラン(50クレジット)","I01","明細照合: Salesforce請求「INV-0000000143」 / Freee請求書ID 60861186","作成済みSalesforce請求「INV-0000000143」とFreee請求書ID 60861186 の明細を、Freee明細ID・件名・数量・単価・金額単位で比較する。 Salesforce側の明細を残す・修正する・不足分を追加するのどれが正しいか確認する。","既存請求明細を直接削除せず、Freee原本との差分を確定してから不足明細の追加または誤明細の訂正を行う。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","不可（個別確認が必要）","経理（内容判断）／システム管理者（マスタ・ルール設定）","同じfreee請求書IDのSalesforce請求は存在しますが、すべての請求明細を照合できませんでした。既存の請求明細と移行Workの明細を確認してください。"
"104","高","既存請求明細との照合不一致","MFIW-000195","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WhTPb2AN/view","60861187","INV-0000001346","株式会社アズスタット","株式会社アズスタット","2026-06-20","12100","","CP-00000152","INV-0000000144","knock knock AI_Basicプラン(月額) / 数量:1 / 単価:11,000 / 金額:11,000 / 確定:knock knock AI Basicプラン(50クレジット)","I01","明細照合: Salesforce請求「INV-0000000144」 / Freee請求書ID 60861187","作成済みSalesforce請求「INV-0000000144」とFreee請求書ID 60861187 の明細を、Freee明細ID・件名・数量・単価・金額単位で比較する。 Salesforce側の明細を残す・修正する・不足分を追加するのどれが正しいか確認する。","既存請求明細を直接削除せず、Freee原本との差分を確定してから不足明細の追加または誤明細の訂正を行う。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","不可（個別確認が必要）","経理（内容判断）／システム管理者（マスタ・ルール設定）","同じfreee請求書IDのSalesforce請求は存在しますが、すべての請求明細を照合できませんでした。既存の請求明細と移行Workの明細を確認してください。"
"105","中","契約・契約期間未確定","MFIW-000196","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WhTPc2AN/view","60861188","INV-0000001347","九州旅客鉄道株式会社(開発工事部)","九州旅客鉄道株式会社(開発工事部)","2026-06-20","8800","","","","Rendery_Pro_月額利用料 / 数量:1 / 単価:8,000 / 金額:8,000 / 確定:Rendery Proプラン","C01","請求区分と契約先: 九州旅客鉄道株式会社(開発工事部) / 請求日: 2026-06-20","取引先「九州旅客鉄道株式会社(開発工事部)」の請求が、月契約・年契約・単発請求のどれに該当するか確認する。 既存の有効契約へ紐づけるか、新しいFreee管理契約を作成するか確認する。 請求日 2026-06-20 を含む契約期間を作成または選択してよいか確認する。","確認した商品と請求区分を基に、取引先・商品・件名キーワード・請求区分が一意になるFreee請求契約ルールを登録して有効化する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","契約管理を特定できません。取引先に有効な契約管理があるか確認してください。 / 契約期間を特定できません。請求日を含む契約期間があるか確認してください。"
"106","中","契約・契約期間未確定","MFIW-000198","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WhTPe2AN/view","60861191","INV-0000001349","株式会社ＬＩＸＩＬ住宅研究所","株式会社ＬＩＸＩＬ住宅研究所","2026-06-20","8800","","","","Rendery_Pro_月額利用料 / 数量:1 / 単価:8,000 / 金額:8,000 / 確定:Rendery Proプラン","C01","請求区分と契約先: 株式会社ＬＩＸＩＬ住宅研究所 / 請求日: 2026-06-20","取引先「株式会社ＬＩＸＩＬ住宅研究所」の請求が、月契約・年契約・単発請求のどれに該当するか確認する。 既存の有効契約へ紐づけるか、新しいFreee管理契約を作成するか確認する。 請求日 2026-06-20 を含む契約期間を作成または選択してよいか確認する。","確認した商品と請求区分を基に、取引先・商品・件名キーワード・請求区分が一意になるFreee請求契約ルールを登録して有効化する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","契約管理を特定できません。取引先に有効な契約管理があるか確認してください。 / 契約期間を特定できません。請求日を含む契約期間があるか確認してください。"
