"No","優先度","主原因","Work名","Salesforce URL","Freee請求書ID","取引先","請求日","請求金額","契約管理","契約期間","作成済み請求","確認コード","個別確認対象","自動反映可否","主担当","対応状況","確認結果","対応者","確認日","備考"
"123","中","契約・商品未確定","MFIW-000153","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WiSXe2AN/view","62159546","クウジット株式会社","2026-07-02","247500","","","","C01,P02","請求区分と契約先: クウジット株式会社 / 請求日: 2026-07-02 || 商品選択: 「システム保守運用費＿2026年4-6月度」","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"124","中","商品未確定","MFIW-000154","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000Wic2L2AR/view","62334543","梅林建設株式会社","2026-07-03","72630","","CP-00000105","","P02","商品選択: 「交通費」","商品確定後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"125","中","契約・商品未確定","MFIW-000373","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000XX8tV2AT/view","62557474","愛知建築士会","2026-07-07","127800","","","","C01,P02","請求区分と契約先: 愛知建築士会 / 請求日: 2026-07-07 || 商品選択: 「講師費」 || 商品選択: 「交通費（往復）」","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"126","中","契約・商品未確定","MFIW-000374","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000YomM12AJ/view","62989809","野村不動産株式会社","2026-07-14","495000","","","","C01,P02","請求区分と契約先: 野村不動産株式会社 / 請求日: 2026-07-14 || 商品選択: 「外観モデル」","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"127","中","契約・契約期間未確定","MFIW-000375","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000Ypg4s2AB/view","63077917","三井不動産レジデンシャルリース株式会社(ソリューション推進部)","2026-07-20","145200","","","","C01","請求区分と契約先: 三井不動産レジデンシャルリース株式会社(ソリューション推進部) / 請求日: 2026-07-20","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"128","中","契約・契約期間未確定","MFIW-000377","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000Ypg4u2AB/view","63077927","株式会社三越伊勢丹プロパティ・デザイン","2026-07-20","52800","","","","C01","請求区分と契約先: 株式会社三越伊勢丹プロパティ・デザイン / 請求日: 2026-07-20","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"129","中","契約・商品未確定","MFIW-000378","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000Ypg4v2AB/view","63077930","株式会社アールシーコア","2026-07-20","275000","","","","C01,P02","請求区分と契約先: 株式会社アールシーコア / 請求日: 2026-07-20 || 商品選択: 「セキュリティオプション+_運用費用_月額」","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"130","中","契約・契約期間未確定","MFIW-000381","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000Ypg4y2AB/view","63077938","株式会社錢高組","2026-07-20","26400","","","","C01","請求区分と契約先: 株式会社錢高組 / 請求日: 2026-07-20","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"131","中","契約・契約期間未確定","MFIW-000386","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000YptF02AJ/view","63077950","柏井建設株式会社","2026-07-20","82500","","","","C01","請求区分と契約先: 柏井建設株式会社 / 請求日: 2026-07-20","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"132","中","商品未確定","MFIW-000388","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000YptF22AJ/view","63077956","コンチネンタルホーム株式会社","2026-07-20","44000","","CP-00000285","","P01","商品候補確認: 「Rendery_Proプラン_5アカウント(月額費用)」 -> 「Rendery Proプラン」","条件付き可（候補商品が一意であることを確認）","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"133","中","契約・商品未確定","MFIW-000398","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000Yq7Em2AJ/view","63077980","近鉄不動産株式会社","2026-07-20","308000","","","","C01,P01,P02","請求区分と契約先: 近鉄不動産株式会社 / 請求日: 2026-07-20 || 商品候補確認: 「[月額費用]Rendery Enterpriseプラン_11アカウント」 -> 「Rendery Enterpriseプラン」 || 商品選択: 「[月額費用]セキュリティオプション+_運用費用」","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"134","中","契約・契約期間未確定","MFIW-000401","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000Yq7Ep2AJ/view","63077988","株式会社デザインアーク（東京スペースソリューション第１営業所）","2026-07-20","33000","","","","C01","請求区分と契約先: 株式会社デザインアーク（東京スペースソリューション第１営業所） / 請求日: 2026-07-20","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"135","中","契約・契約期間未確定","MFIW-000403","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000Yq7Er2AJ/view","63077993","合同会社小島屋","2026-07-20","8800","","","","C01","請求区分と契約先: 合同会社小島屋 / 請求日: 2026-07-20","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"136","中","その他","MFIW-000404","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000Yq7Es2AJ/view","63077995","三菱地所レジデンス株式会社","2026-07-20","52800","","CP-00000069","","O01","検証メッセージを確認","再検証後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"137","中","契約・商品未確定","MFIW-000405","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000YqK3t2AF/view","63110944","株式会社野村工務店","2026-07-20","1584000","","","","C01,P01","請求区分と契約先: 株式会社野村工務店 / 請求日: 2026-07-20 || 商品候補確認: 「Rendery Enterpriseプラン_10アカウント_月額費用」 -> 「[代理販売20%] Rendery Enterpriseプラン」","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"138","中","契約・商品未確定","MFIW-000406","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000YqK3u2AF/view","63110969","株式会社サンテン・コーポレーション","2026-07-20","35200","","","","C01,P01","請求区分と契約先: 株式会社サンテン・コーポレーション / 請求日: 2026-07-20 || 商品候補確認: 「Rendery Proプラン_月額費用」 -> 「Rendery Proプラン」","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"139","中","契約・商品未確定","MFIW-000407","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000YqK3v2AF/view","63120578","株式会社パインウェル","2026-07-20","8800","","","","C01,P01","請求区分と契約先: 株式会社パインウェル / 請求日: 2026-07-20 || 商品候補確認: 「Rendery Proプラン（月額）」 -> 「Rendery Proプラン」","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"140","中","商品未確定","MFIW-000410","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000YqK3y2AF/view","63125575","株式会社大塚商会","2026-07-20","14080","","CP-00000061","","P01","商品候補確認: 「Rendery_Pro_月額利用料_注文番号：405342481」 -> 「[代理販売20%] Rendery Proプラン」","条件付き可（候補商品が一意であることを確認）","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"141","中","契約・契約期間未確定","MFIW-000411","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000YqK3z2AF/view","63125666","帝国不動産株式会社","2026-07-20","52800","","","","C01","請求区分と契約先: 帝国不動産株式会社 / 請求日: 2026-07-20","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"142","中","契約・契約期間未確定","MFIW-000412","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000YqK402AF/view","63125722","三菱地所株式会社(DX推進部)","2026-07-20","17600","","","","C01","請求区分と契約先: 三菱地所株式会社(DX推進部) / 請求日: 2026-07-20","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"143","中","契約・商品未確定","MFIW-000413","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000YqK412AF/view","63126510","野村不動産株式会社","2026-07-20","2244000","","","","C01,P02","請求区分と契約先: 野村不動産株式会社 / 請求日: 2026-07-20 || 商品選択: 「セキュリティオプション(シングルサインオン)月額費用」","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"144","中","商品未確定","MFIW-000414","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000YqK422AF/view","63127138","株式会社大塚商会","2026-07-20","1584000","","CP-00000061","","P01","商品候補確認: 「Rendery Enterpriseプラン_10アカウント_月額費用」 -> 「[代理販売20%] Rendery Enterpriseプラン」","条件付き可（候補商品が一意であることを確認）","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"145","中","契約・契約期間未確定","MFIW-000415","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000YqSO22AN/view","63128994","株式会社ワンズ・レーニア","2026-07-20","82500","","","","C01","請求区分と契約先: 株式会社ワンズ・レーニア / 請求日: 2026-07-20","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"146","中","契約・商品未確定","MFIW-000421","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000YqSO82AN/view","63150544","株式会社ヨコハマ地所","2026-07-20","12100","","","","C01,P01","請求区分と契約先: 株式会社ヨコハマ地所 / 請求日: 2026-07-20 || 商品候補確認: 「knock knock AI_Basicプラン」 -> 「knock knock AI Basicプラン(50クレジット)」","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"147","中","商品未確定","MFIW-000422","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000YqSO92AN/view","63150545","リアルティホールディングス株式会社","2026-07-20","175450","","CP-00000126","","P02","商品選択: 「knock knock AI_Enterpriseプラン_1200クレジット」","商品確定後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"148","中","契約・契約期間未確定","MFIW-000426","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000YqLuR2AV/view","63150551","株式会社JR東日本建築設計","2026-07-20","8800","","","","C01","請求区分と契約先: 株式会社JR東日本建築設計 / 請求日: 2026-07-20","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"149","中","契約・契約期間未確定","MFIW-000427","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000YqLuS2AV/view","63150553","アイリスオーヤマ株式会社(空間デザイン部)","2026-07-20","12100","","","","C01","請求区分と契約先: アイリスオーヤマ株式会社(空間デザイン部) / 請求日: 2026-07-20","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"150","中","契約・契約期間未確定","MFIW-000428","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000YqLuT2AV/view","63150554","アイリスオーヤマ株式会社(ストアソリューション営業部ストアデザインチーム)","2026-07-20","48400","","","","C01","請求区分と契約先: アイリスオーヤマ株式会社(ストアソリューション営業部ストアデザインチーム) / 請求日: 2026-07-20","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"151","中","契約・契約期間未確定","MFIW-000429","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000YqLuU2AV/view","63150555","九州旅客鉄道株式会社(博多設備区)","2026-07-20","8800","","","","C01","請求区分と契約先: 九州旅客鉄道株式会社(博多設備区) / 請求日: 2026-07-20","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"152","中","契約・契約期間未確定","MFIW-000431","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000YqLuW2AV/view","63150560","株式会社デザインアーク","2026-07-20","181500","","","","C01","請求区分と契約先: 株式会社デザインアーク / 請求日: 2026-07-20","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"153","中","契約・契約期間未確定","MFIW-000435","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000Yr46j2AB/view","63150568","九州旅客鉄道株式会社(建設工事部施設課)","2026-07-20","8800","","","","C01","請求区分と契約先: 九州旅客鉄道株式会社(建設工事部施設課) / 請求日: 2026-07-20","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"154","中","契約・契約期間未確定","MFIW-000437","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000Yr46l2AB/view","63150570","東急リゾーツ＆ステイ株式会社","2026-07-20","48400","","","","C01","請求区分と契約先: 東急リゾーツ＆ステイ株式会社 / 請求日: 2026-07-20","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"155","中","契約・契約期間未確定","MFIW-000443","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000Yr46r2AB/view","63150578","九州旅客鉄道株式会社(開発工事部)","2026-07-20","8800","","","","C01","請求区分と契約先: 九州旅客鉄道株式会社(開発工事部) / 請求日: 2026-07-20","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"156","中","契約・契約期間未確定","MFIW-000445","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000YrJ2X2AV/view","63150580","株式会社ＬＩＸＩＬ住宅研究所","2026-07-20","8800","","","","C01","請求区分と契約先: 株式会社ＬＩＸＩＬ住宅研究所 / 請求日: 2026-07-20","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"157","中","契約・商品未確定","MFIW-000447","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000YswQ42AJ/view","63150583","プラス株式会社","2026-07-31","6600000","","","","C01,P02","請求区分と契約先: プラス株式会社 / 請求日: 2026-07-31 || 商品選択: 「事業開発検討」 || 商品選択: 「3Dモデル自動生成システム開発PoC」","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
